Hospital Name,Address,LATITUDE,LONGITUDE
Bansal Hospital(A Unit Of Namedi Hospitalpvt Ltd,"No.A-1, New Friend'S Colony",28.572462,77.269541
Maharaja Agrasen Hospital,"Road No. 35, West Punjabi Bagh",28.674678,77.133879
R. Nayyar Hospital,"No.3, 3A, Amar Enclave, Nawada, Uttam Nagar, Main Najafgarh Road",28.632747,77.066637
Vision Care Centre,"E-16/389,392. Sector- 8 Rohini",28.745386,77.091013
Divya Prastha Hospital,"Rz-37, Main Road, Palam Colony",28.583655,77.08074
Kamlesh Medical Centre,"No.423, Bhera Enclave, Paschim Vihar",28.679745,77.090326
Arya Hospital,"C-1/101.Pankha Road, Janak Puri",28.61766,77.07941
Chaddha Children Hospital & Nursing Home,"No.121, Guru Harkishan Nagar, Paschim Vihar",28.679444,77.085176
Navjeevan Hospital,"A-12, Pushpanjali Enclave, Pitampura",28.694901,77.108937
Sukhmani Hospital,"B-7 Extn, 126A Safdar Jung Enclave, Kamal Cinema Road",28.567336,77.200533
Deepan Hospital,"Khasra 139-140, Najafgarh Raod, Kapashera",28.531713,77.085694
Avanitka Hospital,"#168/A-00/Sector-2, Rohini, Near Pole Star Public School",28.698023,77.101769
Shivam Nursing Home,"A-93, Gurudwara Wala Road, New Seelampur Market",28.677034,77.266648
Kesar Hospital,"Ah-11, Shalimar Bagh, Near Prabhu Dayal Public School",28.713625,77.163113
Primus Ortho And Spine Hospital,"Chander Gupt Marg, Chankyapuri",28.597183,77.181993
Usha Memorial Orthopaedic Centre,"D-8, Krishna Nagar",28.785113,77.173359
Surya Hospital,"383/11-C, East Azad Nagar, Krishana Nagar",28.66137,77.281682
Ashok Nursing Home,"F-3/15, Vijay Chowk, Krishna Nagar",28.775784,77.171694
Khandelwal Hospital & Urology Centre,"B-16, East Krishna Nagar, Opp. Swarah Cenima",28.661822,77.288621
Jeevan Jyoti Clinic & Hospital,"G.T.B. Chowk, Dilshand Gardendilshad Garden",28.691792,77.318979
Jain Charitable Hospital,"#2946-2949, Street #5, Raghubar Pura, Ii Gandhi Nagar",28.677938,77.26125
Panchsheel Hospital Private Limited,"C-3/64 A, Yamuna Vihar",28.711668,77.262331
Mohan Nursing Home & Hospitals,"B-2/40A, Yamuna Vihar",28.703838,77.279351
Neera Eye Centre & Laser Vision,"B-99, Bharat Ram Road, Opp-Commercial School Darya Ganj",28.643971,77.241734
Jeewan Mala Hospital Pvt. Ltd.,New Rohtak Road,28.667169,77.173449
Delhi Heart And Lung Institute,#3Mm Ii Panchkuian Road,28.643067,77.204777
Shree Jeewan Hospital,67/1 Rohtak Road,28.660316,77.196095
Sant Parmandand Hospital,"# 18, Sham Nath Marg, Civil Lines",28.68607,77.224222
Family Hospital (P) Ltd,"W2-26A, Sahibpura",28.716485,77.098515
Sardana Eye Institute,"A-2/19, Rajouri Garden",28.650825,77.121912
Khetarpal Nursing Home,"Gn-5, F&G Sector, Shivaji Enclaveshivaji Enclave",28.652332,77.123285
Bimla Devi Hospital,"# 5, Pocket B, Ocf Mayur Vihar Phase Iiphase-11",28.654441,77.305092
Popli Hospital,"Rz-E-2/86A, Chankya Place, Part",28.621597,77.07728
Medfirst Health Care Pvt Ltd,"D-3/14, Vasant Vihar",28.574573,77.18783
Aashlok Nursing Home Pvt Ltd,"#25A, Block-Ab, Community Centre, Safdarjung Enclave",28.57397,77.200876
Vimhans(Vidyasagar Institute Of Mental Health Neuro And Allied Sciences),"1, Institutional Area, Nehru Nagar",28.672817,77.17135
Lions Kidney Hospital & Urology Research Insitute,Opp B Block Friends Colony,28.635892,77.224957
Jeewan Hospital & Nursing Home Gate No 2,"150- Jeewan Nagar, Gate #2, Near Police Post, Sun Light Colony",28.580301,77.263018
Sharma Nursing Home & Hospital,"A-19-A, Kailash Colony",28.564321,77.240358
Metro Hospital & Heart Institute,"14, Ring Road, Lajpat Nagar Iv",28.568618,77.228209
Nu-Tech Mediworld,"487, Hardev Purigoutam Nagar",28.565225,77.214266
Navjeewan Nursing Home,"15/199-200, Halviya Nagar",28.569748,77.213236
Manav Rakshak Cancer Centre,"#21, Masigarh, Sukhdev Vihar",28.564924,77.274004
R.G. Stone Urological Laparoscopy Hospital,"#195, Deepali Outer Ring Road, Pitampura",28.696987,77.113377
Bajaj Eye Care Centre,"101, Vikas Surya Plaza, Plot # 7, Dda Community Centre Road # 44, Pitampura",28.702634,77.13422
Hans Charitable Hospital,"2001-02, Outram Lines, Kings Way Camp.",28.700206,77.20822
Rashmi Hospital,"Jp-6, Maurya-Enclave, Pitampura",28.69055,77.131012
Aggarwal Nursing Home,"2528/192, Tri Nagar, Tota Ram Bazar",28.686974,77.157618
Northex Stone Clinic,"A-7, First Fl Gujaranwala Town, G T Karnal Road",28.708656,77.189547
Santom Hospital,"D-5, Prashant Vihar, Rohini",28.7207,77.138735
Bhagat Hospital,"D-2/48-49, Janakpuri",28.609428,77.106078
Batra Hospital,"1 , Tughkalabad Institutional Am.B Road",28.516404,77.260531
Dr. Sunder Lal Memorial Hospital,"C-201, Jawahar Park, Deoli Road",28.506674,77.231609
